     mean  median       std  count
78.085519    85.5 23.513800  35640
87.768919    90.0  9.318081    666
89.921502    96.2 15.669467   7032
74.037869    81.1 24.777530  25541
84.175245    90.0 18.279038   2654
91.150215    97.0 13.503530  16939
88.073859    94.2 16.258239   7777
83.339810    90.0 18.256256   7066
84.582063    93.5 20.270987   4973
87.185889    95.0 18.232895   2785
77.852589    86.7 26.509615  22940
76.480228    84.5 25.334102   1097
88.299708    97.5 17.995606   8549
90.022554    97.7 15.495258   5968
75.416185    82.3 23.425831  15241
82.809903    87.3 16.899014   4433
92.475221    98.9 11.148705   4076
83.287127    87.1 16.059723   3985
78.731960    85.6 37.940235  23631
